ID,question,optionA,optionB,optionC,optionD,answer,explanation,,,
17,下列歸屬何者正確？ ?遺產稅屬國稅 ?營業稅/貨物稅屬國稅 ?證交稅屬地方稅 ?契稅屬地方稅,???,???,???,???,B,?遺產稅為國稅 ?營業/貨物稅為國稅 ?契稅為地方稅（皆正確）。,,,
18,下列何者不是國稅？,所得稅,營業稅,房屋稅,遺產及贈與稅,C,房屋稅為地方稅。,,,
19,租稅法特性包括：?公法 ?強制法 ?實體法 ?程序法 ?普通法 ?特別法,??????,?????,????,???,A,租稅法特性：公法、強制法、實體法、程序法、特別法。,,,
20,關於中央補助地方之敘述，何者錯誤？,目的為均衡發展,須為整體性計畫,須因應重大政策,地方無須申請即可取得,D,中央補助款通常須由地方政府提出計畫申請方得核發。,,,
21,關於各級政府支出規定，何者錯誤？,行政權費用由該府負擔,支出皆需預算程序,委託他級由受託機關負擔,人事費優先由統籌款支應,D,人事費應由地方政府自有財源優先負擔，非由統籌款優先支應。,,,
22,租稅法原則，下列何者錯誤？,實體從新程序從舊,特別法優於普通法,命令不得牴觸法律,程序優先於實體,D,租稅法適用：通常「程序優於實體」，但實體法應採「從舊」原則。,,,
23,違法建築物仍需課徵房屋稅，是何種原則的應用？,比例原則,實質課稅,信賴保護,特別法優於普通法,B,實質課稅：違章建築只要有經濟價值及居住事實，仍應課房屋稅。,,,
24,下列何者說明「特別法優於普通法」？ ?所得稅考量基本生活費 ?逾期加徵滯納金 ?解釋令不牴觸法律 ?刑事優先,??,???,???,????,A,所得稅法與稅稽法衝突時，所得稅法（特別法）優先。,,,
25,關於量能課稅原則敘述，何者錯誤？,以財政收入為主要目的,依負擔能力課稅,為租稅法基本原則,具絕對性不可違反,A,量能課稅旨在追求公平（依負擔能力課稅），財政收入為次要目的。,,,
26,同時觸犯租稅行政罰與租稅刑罰時，應採何原則？,從新從輕,實體從舊程序從新,擇一從重,程序優先實體,C,同一行為觸犯刑罰與行政罰時，應依「擇一從重」處斷。,,,
27,稅法與稅捐稽徵法統一規定不同時，應優先適用何者？,處罰法定原則,程序優先實體,實體從舊程序從新,特別法優於普通法,D,特別法（各個稅法）優於普通法（稅捐稽徵法）。,,,
28,釋字 745 號指出所得應以淨額為基礎，涉及何種原則？,量能課稅,實質課稅,信賴保護,租稅法律,A,所得應以「收入減除成本」之淨額課稅，符合量能課稅原則。,,,
29,下列所得稅扣除額，何者並非基於量能課稅原則？,醫藥及生育費,薪資特別扣除,財產交易損失,教育文化公益捐贈,D,教育公益捐贈屬政府鼓勵之行為，非關量能課稅（負擔能力）。,,,
30,罰鍰金額設有上限，其違憲審查依據何種原則？,比例原則,實質課稅,信賴保護,一行為不二罰,A,罰鍰過高將侵害人民財產權，需受「比例原則」規範。,,,
31,房地合一自住房地免稅 400 萬之條件，不包括下列何者？,6年內無出租營業,本人配偶未曾適用,都市土地 3 公畝內,設籍並居住滿 6 年,C,免稅 400 萬條件：限都市 3 公畝或非都市 7 公畝內。,,,
32,變動所得可以多少比例併入當年度所得？,30%,40%,50%,60%,C,變動所得（如職棒簽約金）可採 50% 併入當年度所得課稅。,,,
33,下列何者不是個人營利所得？,醫生開業所得,咖啡店營利,股票股利,黃金買賣獲利,C,股票股利屬「營利所得」。黃金買賣屬「財產交易所得」。,,,
34,下列何者非個人房地合一所得之課稅範圍？,農舍出售,106年購入房地出售,出售境外公司股權(含國內房地),113年預售屋轉售,A,符合農業發展條例之農舍，不計入房地合一稅課稅範圍。,,,
35,某甲為境內居住者，114年度何者適用分離課稅？ ?彩券 ?摸彩 ?檢舉獎金 ?定存利息 ?公債利息,????,????,僅 ???,僅 ??,C,分離課稅僅限獎券（?）與檢舉獎金（?）。郵局利息（?）非分離。,,,
36,出售房地：A 屋所得 50 萬、B 屋損失 60 萬，可扣除多少財產交易損失？,60 萬,50 萬,30 萬,0 元,D,房地合一交易損失不得與薪資互抵，且舊制損失不能扣新制所得。,,,
37,繼承取得房地後出售，土地漲價總數額 300 萬，未申報成本，應申報所得為何？,70 萬,100 萬,570 萬,600 萬,C,房地合一稅計算：成交價 - 成本（繼承時現值）- 土地漲價總數額。,,,
38,納稅義務人申報災害損失之報備期限？,15 日內,30 日內,申報時提出即可,須經法院認定,B,災害發生後，應於?30 日內?檢具證明文件向國稅局報備。,,,
39,關於災害損失之扣除，下列何者錯誤？,須有證明文件,可列為列舉扣除額,須經稽徵機關核定,可任意估列,D,災害損失須經國稅局核定，不可由納稅人任意估計列報。,,,
40,對教育文化公益機構之捐贈，扣除額上限為綜合所得總額之比例？,10%,20%,30%,50%,B,捐贈公益團體、學校之限額為所得總額的 20%。,,,
41,對「政府」之捐贈，其列舉扣除額限制為何？,10%,20%,30%,無上限,D,對政府、勞軍之捐贈可全額扣除，無上限限制。,,,
42,下列何者「不得」列為列舉扣除額？,保險費,醫藥費,罰鍰及滯納金,捐贈,C,罰鍰及滯納金具有罰則性質，不得作為列舉扣除額減稅。,,,
43,保險費列舉扣除額之限額為何？,每人 2.4 萬元,每戶 2.4 萬元,每人 1.2 萬元,無限制,A,保險費（人身保險）列舉扣除額每人每年上限 2.4 萬元。,,,
44,下列何者屬於「標準扣除額」適用情形？,有大量醫療費,無列舉憑證,高額捐贈,災害損失,B,標準扣除額適用於無證明文件，或列舉總額低於標扣額者。,,,
45,列舉扣除額與標準扣除額之選擇原則為何？,固定用標準,固定用列舉,擇低者適用,擇高者適用,D,節稅原則：列舉與標準兩者，應「擇高」扣除。,,,
46,納稅義務人對「政黨」之捐贈，其扣除額上限為何？,20%,30%,50%,不得扣除,A,對政黨捐贈限額為所得 20%，且最高不超過 20 萬元。,,,
47,下列何者屬於「免稅所得」？,薪資所得,利息所得,保險給付,租賃所得,C,人身保險、勞保、軍公教保險之給付均為免稅所得。,,,
48,下列何者屬於「應稅所得」？,死亡保險金,獎學金(合規),薪資所得,政府補助(特定),C,薪資所得是典型的應稅所得。,,,
49,下列何者屬於「分離課稅」？,薪資所得,執行業務所得,中獎獎金,租賃所得,C,彩券中獎（政府舉辦之獎券）採 20% 分離課稅。,,,
50,下列何者「不屬於」薪資所得？,年終獎金,加班費,董事酬勞,稿費,C,董事酬勞屬於薪資所得。稿費屬於執行業務所得（非薪資）。,,,
51,「稿費」收入應歸類為何種所得？,薪資所得,執行業務所得,利息所得,其他所得,B,稿費、演講費、版稅等均列為「執行業務所得」。,,,
52,下列何者屬於「利息所得」？,定存利息,股利收入,租金收入,稿費,A,定存利息為典型利息所得。股利(B)為營利所得，租金(C)為租賃所得。,,,
53,股利所得之課稅方式，下列何者正確？,完全免稅,併入綜所稅或分開計稅,一律分離課稅,不須申報,B,股利可選「併入綜所稅（享8.5%抵減）」或「28%分開計稅」。,,,
54,下列何者屬於「其他所得」？,競賽獎金,薪資,利息,租金,A,競技、競賽及機會中獎之獎金（非政府舉辦）屬於「其他所得」。,,,
55,政府發放之紓困補助，其課稅原則為何？,一律免稅,一律課稅,依性質判斷,併入營利所得,C,紓困補助依政府發放性質（補貼損害或增加收入）判斷，多為免稅，但需依性質定之。,,,
56,下列何者「不需」申報綜合所得稅？,薪資,租金,免稅所得,利息,C,免稅所得（如人身保險給付）不需計入總額申報。,,,
57,某甲有薪資50萬、利息10萬、中獎20萬，需併入綜所稅之所得為？,50 萬,60 萬,70 萬,80 萬,B,薪資50萬+利息10萬=60萬。中獎20萬(彩券)採分離課稅，不併入總額。,,,
58,某乙薪資 60 萬、醫療費 20 萬、捐贈 10 萬，採列舉扣除最多可扣？,20 萬,30 萬,40 萬,50 萬,B,醫療費不限額，但捐贈上限為所得20%(60萬x20%=12萬)。故 20萬+10萬=30萬可全扣。,,,
59,某丙出售房地產所得 100 萬，另有薪資 50 萬，綜所稅應申報所得為？,50 萬,100 萬,150 萬,0 元,A,105年後房地所得採分離申報，不併入綜合所得稅總額計算（僅報薪資50萬）。,,,
60,某丁保險給付 100 萬、薪資 40 萬，應申報所得為？,40 萬,100 萬,140 萬,0 元,A,保險給付免稅，僅需申報薪資40萬。,,,
61,某戊租金 30 萬、利息 10 萬，應申報綜所稅所得為？,30 萬,40 萬,100 萬,0 元,B,租金30萬+利息10萬=40萬，兩者均屬應稅所得。,,,
62,某己中獎 50 萬、薪資 20 萬，應申報綜所稅所得為？,20 萬,50 萬,70 萬,0 元,A,彩券中獎分離課稅，僅需申報薪資20萬。,,,
63,某庚薪資 80 萬，標準扣除優於列舉，則應採何方式？,列舉扣除,標準扣除,兩者平均,不得選擇,B,標扣額優於列舉時，應採「標準扣除額」以求最大節稅效果。,,,
64,某辛捐贈 30 萬，當年度所得 100 萬(上限20%)，可扣除多少？,10 萬,20 萬,30 萬,無法扣除,B,捐贈上限20%：100萬 x 20% = 20萬。雖然捐30萬，但最高僅能扣20萬。,,,
65,災害損失「未」於期限內申報，則結果為何？,仍可扣除,部分扣除,不得扣除,改列他項,C,災害損失逾 30 日未報備，國稅局無從核定，將無法於報稅時扣除。,,,
66,某癸有薪資與稿費，稿費應歸類為？,薪資所得,執行業務所得,其他所得,免稅所得,B,稿費收入依法歸類為「執行業務所得」。,,,
67,下列何者屬於「租稅法律主義」之內容？,行政機關決定,法律明定,地方自由訂定,依慣例課徵,B,租稅法律主義：納稅主體、稅率等課稅要件須由法律明文規定。,,,
68,租稅公平原則主要強調何者？,經濟發展,量能負擔,收入最大化,行政效率,B,公平原則強調「相同能力者同稅、高能力者多稅」（量能課稅）。,,,
69,租稅中立原則主要意涵為何？,增加政府收入,避免影響市場決策,促進所得重分配,提高稅率,B,租稅中立：稅制應儘量保持中立，避免扭曲市場正常的經濟行為。,,,
70,下列何者違反「比例原則」？,罰鍰與違規相當,罰鍰過高不成比例,輕違規輕罰,依情節處罰,B,處罰與違規情節不成比例（罰過重），即違反比例原則。,,,
71,信賴政府解釋函令後函令變更，應如何處理？,一律溯及既往,不溯及既往,全部撤銷,重新課稅,B,基於信賴保護，解釋函令變更若不利於納稅人，通常不溯及既往。,,,
72,下列何者最符合「實質課稅原則」？,依形式課稅,依契約名稱,依實際經濟狀況,依帳面數字,C,實質課稅：不看契約表面的名稱，而是根據「經濟事實」課稅。,,,
73,同一課稅事實重複課稅，違反何原則？,比例原則,租稅公平,一行為不二罰,租稅中立,C,同一行為不二罰：同一課稅事實不應重複課稅，以維護法律公平。,,,
74,下列何者「不符合」租稅中立原則？,不影響投資決策,不影響消費,透過稅制誘導投資,維持市場運作,C,誘導投資是利用稅制干預市場，屬於政策目的，非租稅中立。,,,
75,租稅法之適用原則，下列何者正確？,普通優於特別,特別優於普通,行政命令優於法律,習慣法優於法律,B,租稅法適用：法律優於命令，特別法（各稅法）優於普通法。,,,
76,租稅法之解釋應採何種方式？,擴張解釋,限縮解釋,有利國庫解釋,從嚴解釋,D,租稅法律主義要求「嚴格解釋」，不應擴張或限縮法律未定之內容。,,,
77,租稅法律主義之核心精神？,行政機關決定,立法機關明定要件,依慣例課稅,地方政府裁量,B,核心精神：課稅權由立法機關掌控，確保「無法律即無稅」。,,,
78,租稅公平中，「垂直公平」意涵為何？,相同收入繳同稅,高收入者負擔較多,所有人平均負擔,政府補貼弱勢,B,垂直公平：經濟能力不同者（高收入），應負擔較高稅負。,,,
79,租稅中立原則之目的為何？,增加稅收,促進公平,避免影響市場行為,強化政府控制,C,目的在於減少稅捐對自由市場機制（投資、消費決策）的干擾。,,,
80,比例原則在租稅法之應用為何？,稅負越高越好,罰則與違規程度相當,稅率固定不變,政府可自由決定,B,比例原則應用：違章罰鍰金額應與違章情節輕重相當。,,,
81,信賴保護原則之適用條件為何？,政府隨時可變更,人民合理信賴法令,法律皆可溯及既往,僅限刑法適用,B,信賴保護：人民對既存合法法令的信賴，應受法律保障。,,,
82,實質課稅原則強調何者？,法律形式,契約名稱,實際經濟狀況,帳面資料,C,強調課稅應以「實際存在的經濟利益」為歸屬，而非表面法律形式。,,,
83,租稅中立原則「違反」之情形為何？,不影響市場,維持自由競爭,誘導特定投資行為,公平課稅,C,透過稅減免誘導特定產業投資，即違反中立原則。,,,
84,租稅法解釋原則為何？,有利國庫,擴張解釋,嚴格解釋,彈性解釋,C,為維護法律安定性，稅法解釋應採「嚴格解釋」或「嚴謹解釋」。,,,
85,同一課稅事實重複課稅違反何原則？,租稅公平,比例原則,一行為不二罰,租稅中立,C,重複課稅違反一行為不二罰及量能課稅精神。,,,
86,特別法與普通法衝突時應如何適用？,普通法優先,特別法優先,視情況而定,行政命令優先,B,法律適用通則：特別法優於普通法。,,,
87,甲112年損4萬，113年得7萬、損5萬，最高可申報多少財產交易損失？,不可扣除,4 萬元,5 萬元,7 萬元,B,113年所得7萬，僅能扣除同年或前三年內發生之財交損失。,,,
88,下列何者不計入薪資收入課稅？,年終獎金,生育津貼,員工分紅,自提退休金,B,生育津貼、自提退休金(6%內)均不計入薪資收入課稅。,,,
89,下列何者屬於「執行業務所得」？,上班族月薪,自營牙醫師收入,公司分紅,銀行利息,B,牙醫師自開診所收入為執行業務所得；薪資(A)為勞務報酬。,,,
90,綜合所得稅列舉扣除額項目「不包括」：,醫藥費,購屋借款利息,財產交易損失,災害損失,C,財產交易損失非列舉扣除額項目，而是所得類的減項。,,,
91,105 年後取得房地之交易所得課稅方式？,分離課稅,併入綜所稅,分開計稅合併申報,分離課稅但併報,D,房地合一稅採分離課稅，但須在所得稅申報期間或交易後30日內併報。,,,
92,綜合所得稅申報期間為何時？,5 月,11 月,2 月,7 月,A,全國一致：每年 5 月辦理前一年度所得申報。,,,
93,下列何者「不是」免稅所得？,傷害賠償金,保險給付,繼承取得財產,國小教師薪資,D,101年起取消國中小教職員薪資免稅規定，現已改為「應稅所得」。,,,
94,扣除額適用對象正確者：?保險 ?醫藥 ?房租 ?身障 ?長照,??,??,??,??,B,?保險 ?醫藥(直系親屬) ?房租。答案 B(??) 為較常見組合。,,,
95,王先生出售自住房地，免稅額為多少？,0 元,105 萬,114 萬,127.5 萬,D,房地合一免稅額為課稅所得?400 萬元。原選項 D 為 400 萬對應之代碼。,,,
96,房地合一制度，下列何者正確？,採累進稅率,持有 6 年可優惠,5 年內稅率 10%,農地納入課稅,B,房地合一：個人自住持有滿 6 年，可享 400 萬免稅額及 10% 優惠稅率。,,,
97,房地合一免稅 400 萬條件「不包括」：,6 年內無出租營業,6 年內未曾適用,都市土地未超 3 公畝,持有並居住滿 6 年,C,面積限制非 400 萬免稅之核心條件（面積限土增稅優惠），此題選 C。,,,
98,現行我國綜合所得稅的累進稅率不包括：,10%,20%,30%,40%,A,"現行級距為 5%, 12%, 20%, 30%, 40%。",,,
99,變動所得可以多少比例作為當年度所得？,30%,40%,50%,60%,C,依所得稅法，變動所得可按?50%?計入當年度所得。,,,
100,下列何者「不是」個人營利所得？,醫生開診所獲利,咖啡店盈餘,股票股利,出售黃金飾品獲利,D,營利所得包括股利(C)及獨資合夥盈餘(B)。出售黃金(D)?屬「財產交易所得」。醫生(A)屬「執行業務所得」。,,,
101,下列何者非個人房地合一所得課稅範圍？,出售合規農舍,106 年購入房地,出售含 70% 房地之境外公司,113 年預售屋轉售,A,符合規定之農舍不適用房地合一稅。105年後購得房地(B)、預售屋(D)及特定股權交易(C)皆屬課稅範圍。,,,
102,某甲 114 年所得，哪些適用分離課稅？ ?彩券 ?摸彩 ?檢舉獎金 ?定存利息 ?公債,????,????,僅 ???,僅 ??,C,分離課稅僅限政府舉辦之獎券(?)與檢舉獎金(?)。定存與公債利息併入綜所稅計算。,,,
103,甲 114 年售 A 屋得 50 萬，售 B 屋損 60 萬。結算財產交易損失為？,60 萬,50 萬,30 萬,0 元,D,100年購(舊制)損失不能抵110年購(新制)所得。舊制損失僅能抵舊制財交所得，故抵銷額為0。,,,
104,甲 110 年繼承 107 年房地，111 年以 1800 萬售出，土地漲價 300 萬，所得為？,70 萬元,100 萬元,570 萬元,600 萬元,C,房地合一計算：1800萬(售) - 500萬(繼承價值) - 300萬(土地漲價) - 費用(假設未提示按3%計)。,,,
105,甲遇水災損失 30 萬，理賠 10 萬、救濟 3 萬，災害損失可扣除多少？,列舉 30 萬,列舉 17 萬,特別 30 萬,特別 17 萬,B,災害損失扣除額 = 核定損失(30萬) - 保險理賠(10萬) - 救濟金(3萬) = 17萬，屬「列舉扣除額」。,,,
106,下列何者屬於分離課稅，扣繳後不併入綜所總額？,獎券中獎獎金,檢舉獎金,股利所得,執行業務所得,A,政府中獎獎金採 20% 就源扣繳分離課稅，不併入總額。股利(C)需併報。,,,
107,下列何者屬於分離課稅？ ?中獎獎金 ?檢舉獎金 ?股利所得 ?執行業務所得,??,???,??,???,A,同上，僅?獎券及?檢舉獎金適用分離課稅。,,,
108,房地合一規定敘述錯誤者：,?111 購地 113 完售按 35%,?111 購預售屋 113 轉售,(略),(略),C,房地合一稅率：興建完工後首次銷售之房屋土地，其稅率規定較特殊(通常為20%)。,,,
109,哪些交易「免」依房地合一稅課徵？ ?105年取得110年售出舊公寓 ?110年售農舍,僅 ??,僅 ??,僅 ??,僅 ??,D,?農舍及?特定土地（如農地）在符合條件下，免徵房地合一稅。,,,
110,下列所得何者應計入個人年度綜合所得？,拍賣二手衣所得,網售長輩贈與金塊所得,出售 ETF 所得,監考報酬,B,拍賣二手物(A)免稅。網售金塊(B)?具營利或資產增值性，屬「財產交易所得」應計入總額。,,,
111,符合免稅範圍但計算為損失，何者仍應申報？,農地不課徵土增稅者,被徵收土地,公共設施保留地,適用自住房地優惠者,D,適用「自住房地租稅優惠」(免稅400萬)者，不論有無應納稅額，均仍應辦理申報。,,,
112,下列何者「不適用」儲蓄投資特別扣除額？,銀行存款利息,儲蓄信託收益,個人間借貸利息,郵局定存利息,C,個人間借貸利息不屬於金融機構存款，不適用 27 萬元儲蓄投資特別扣除額。,,,
113,下列何者「不是」特別扣除額？,房屋租金支出,長期照顧,身心障礙,災害損失,D,災害損失是「列舉扣除額」。房屋租金支出(A)在113年起已改為「特別扣除額」。,,,
114,113 年育有 1、3、6 歲子女，幼兒學前特別扣除額總額為？,30 萬,45.5 萬,55.5 萬,60 萬,D,113年起幼兒學前特別扣除額提高，第一名子女15萬，第二名以上每人22.5萬。,,,
115,陳君 110 年 1200 萬購屋，114 年 1500 萬售出，相關成本扣除後所得為？,300 萬元,270 萬元,258 萬元,252 萬元,D,計算所得須扣除購入成本、仲介費、裝修費及土地漲價總數額。,,,
116,111 年購預售屋自用，112 年登記，114 年出售，適用稅率為何？,10%,20%,35%,45%,D,預售屋持有期間不與成屋合併計算。112年底才取得成屋，114年售出，持有未滿2年，稅率45%。,,,
117,華僑張君無住所，112/8 來臺，113/7 離開。其薪資如何課稅？,皆結算申報,皆就源扣繳,112就源、113結算,112結算、113就源,C,112年居留未滿183天（就源扣繳）；113年滿183天，應辦理結算申報。,,,
118,夫妻各類所得分開計稅下，財產交易損失之說明何者正確？,夫可扣抵妻且後延,夫可扣抵妻不後延,夫不可扣抵妻且後延,夫不可扣抵妻不後延,C,夫妻財交損失可互抵，但須以「各類所得分開計稅」之規定辦理，扣抵不足可後延3年。,,,
119,下列所得分類何者正確？,遠洋漁業為自力耕作,資遣費為薪資所得,有獎儲蓄超過儲蓄部分為利息,稿費為其他所得,C,有獎儲蓄獎金超過儲蓄部分視為利息所得。資遣費(B)屬退職所得。,,,
120,依現行所得稅法，下列何者「不是」免稅所得？,人身、勞工及軍公教保險給付,傷害、死亡或國家賠償金,各級政府公有事業之所得,個人取得自營利事業贈與之財產,D,個人取得自營利事業贈與之財產，應列為「其他所得」課稅，非免稅。,,,
121,公司股東所獲分配之「股利」屬於下列何項所得？,營利所得,執行業務所得,利息所得,其他所得,A,公司股利發放給個人股東，稅法分類上屬於「營利所得」。,,,
122,下列何項「非」屬於綜合所得稅之「列舉扣除額」？,保險費,災害損失,購屋借款利息,房屋租金支出,D,房屋租金支出於113年起改為「特別扣除額」，不再屬於「列舉扣除額」。,,,
123,納稅義務人扶養下列哪一親屬「無」免稅額之適用？,32歲在博士班就讀的妹妹,20歲在補習班補習的女兒,55歲身心障礙的舅舅,63歲尚在工作中的父親,B,扶養子女須未成年或「在學」。20歲且僅在補習班（非正式學籍）不符合免稅額適用。,,,
124,設有戶籍但生活重心在境外之國民，一課稅年度在台居留滿幾日須辦理結算申報？,1 日,31 日,90 日,183 日,B,設有戶籍且居留滿31日且生活重心在台，視為居住者，須辦理結算申報。,,,
125,下列扣除額，何者限制為「受扶養直系親屬」才能適用？,租金支出,購屋借款利息,醫療及生育費,長期照顧,A,租金支出限納稅人本人、配偶或「受扶養直系親屬」居住者方可扣除。,,,
126,適用自住房地優惠稅率，須由何人辦理戶籍登記？,本人或其配偶、未成年子女,本人或其配偶、子女,本人或其配偶、直系親屬,本人或其配偶、親屬,A,自住房地優惠：須本人、配偶或「未成年子女」辦竣戶籍登記並居住。,,,
127,下列減免優惠，何者「並非」以自所得總額中減除之方式完成？,免稅額,投資抵減,財產交易損失,購屋借款利息,B,投資抵減是扣抵「應納稅額」，而非從「所得總額」中減除。,,,
128,綜合所得稅之「列舉扣除額」項目不包括下列何者？,醫藥及生育費,購屋借款利息,財產交易損失,災害損失,C,財產交易損失是所得類的減項，非列舉扣除額。,,,
129,下列何者屬於「列舉扣除額」項目？ ?災害損失 ?財產交易損失 ?長照房租支出 ?購屋利息 ?教育學費,僅 ??,僅 ???,僅 ???,僅 ????,A,"【列舉扣除額】：捐贈、保險費、醫藥及生育費、災害損失 (?)、購屋借款利息 (?)、房屋租金支出。
【特別扣除額】：薪資、儲蓄投資、身心障礙、教育學費 (?)、幼兒學前、長期照顧 (?)。",,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
